"Announcements","Announcements"
"Add New Announcement","Add New Announcement"
"Edit Announcement","Edit Announcement"
"Delete Announcement","Delete Announcement"
"Are you sure you want to delete this announcement?","Are you sure you want to delete this announcement?"
"Save Announcement","Save Announcement"
"Save and Continue Edit","Save and Continue Edit"
"Back","Back"
"Label","Label"
"Content","Content"
"Redirect URL","Redirect URL"
"Categories","Categories"
"Start Date","Start Date"
"End Date","End Date"
"ID","ID"
"Manage Announcements","Manage Announcements"
"This announcement no longer exists.","This announcement no longer exists."
"You saved the announcement.","You saved the announcement."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Announcements Configuration","Announcements Configuration"
"Announcements Settings","Announcements Settings"
"Create Announcements","Create Announcements"
"Edit Announcements","Edit Announcements"
"Delete Announcements","Delete Announcements"
"Redirect URL","Redirect URL"
"Enter a valid URL starting with http:// or https://","Enter a valid URL starting with http:// or https://"
"Invalid URL format","Invalid URL format"
"Start date and end date are required.","Start date and end date are required."
"Start date cannot be in the past.","Start date cannot be in the past."
"End date cannot be earlier than start date.","End date cannot be earlier than start date."
